name,abbreviation,1789|1789,1790|1793,1800|1803,1810|1813,1820|1823,1830|1833,1840|1843,1850|1853,1860|1863,1870|1873,1880|1883,1890|1893,1900|1903,1910|1913,1930|1933,1940|1943,1950|1953,1960|1963,1970|1973,1980|1983,1990|1993,2000|2003,2010|2013
Alabama,AL,,,,,3,5,7,7,6,8,8,9,9,10,9,9,9,8,7,7,7,7,7
Alaska,AK,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
Arizona,AZ,,,,,,,,,,,,,,1,1,2,2,3,4,5,6,8,9
Arkansas,AR,,,,,,,1,2,3,4,5,6,7,7,7,7,6,4,4,4,4,4,4
California,CA,,,,,,,,2,3,4,6,7,8,11,20,23,30,38,43,45,52,53,53
Colorado,CO,,,,,,,,,,,1,2,3,4,4,4,4,4,5,6,6,7,7
Connecticut,CT,5,7,7,7,6,6,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,5,5
Delaware,DE,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,FL,,,,,,,,1,1,2,2,2,3,4,5,6,8,12,15,19,23,25,27
Georgia,GA,3,2,4,6,7,9,8,8,7,9,10,11,11,12,10,10,10,10,10,10,11,13,14
Hawaii,HI,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
Idaho,ID,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2
Illinois,IL,,,,,1,3,7,9,14,19,20,22,25,27,27,26,25,24,24,22,20,19,18
Indiana,IN,,,,,3,7,10,11,11,13,13,13,13,13,12,11,11,11,11,10,10,9,9
Iowa,IA,,,,,,,,2,6,9,11,11,11,11,9,8,8,7,6,6,5,5,4
Kansas,KS,,,,,,,,,1,3,7,8,8,8,7,6,6,5,5,5,4,4,4
Kentucky,KY,,2,6,10,12,13,10,10,9,10,11,11,11,11,9,9,8,7,7,7,6,6,6
Louisiana,LA,,,,1,3,3,4,4,5,6,6,6,7,8,8,8,8,8,8,8,7,7,6
Maine,ME,,,,,7,8,7,6,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2
Maryland,MD,6,8,9,9,9,8,6,6,5,6,6,6,6,6,6,6,7,8,8,8,8,8,8
Massachusetts,MA,8,14,17,20,13,12,10,11,10,11,12,13,14,16,15,14,14,12,12,11,10,10,9
Michigan,MI,,,,,,,3,4,6,9,11,12,12,13,17,17,18,19,19,18,16,15,14
Minnesota,MN,,,,,,,,,2,3,5,7,9,10,9,9,9,8,8,8,8,8,8
Mississippi,MS,,,,,1,2,4,5,5,6,7,7,8,8,7,7,6,5,5,5,5,4,4
Missouri,MO,,,,,1,2,5,7,9,13,14,15,16,16,13,13,11,10,10,9,9,9,8
Montana,MT,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,1,1,1
Nebraska,NE,,,,,,,,,,1,3,6,6,6,5,4,4,3,3,3,3,3,3
Nevada,NV,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,3,4
New Hampshire,NH,3,4,5,6,6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
New Jersey,NJ,4,5,6,6,6,6,5,5,5,7,7,8,10,12,14,14,14,15,15,14,13,13,12
New Mexico,NM,,,,,,,,,,,,,,1,1,2,2,2,2,3,3,3,3
New York,NY,6,10,17,27,34,40,34,33,31,33,34,34,37,43,45,45,43,41,39,34,31,29,27
North Carolina,NC,5,10,12,13,13,13,9,8,7,8,9,9,10,10,11,12,12,11,11,11,12,13,13
North Dakota,ND,,,,,,,,,,,,1,2,3,2,2,2,2,1,1,1,1,1
Ohio,OH,,,1,6,14,19,21,21,19,20,21,21,21,22,24,23,23,24,23,21,19,18,16
Oklahoma,OK,,,,,,,,,,,,,,8,9,8,6,6,6,6,6,5,5
Oregon,OR,,,,,,,,,1,1,1,2,2,3,3,4,4,4,4,5,5,5,5
Pennsylvania,PA,8,13,18,23,26,28,24,25,24,27,28,30,32,36,34,33,30,27,25,23,21,19,18
Rhode Island,RI,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
South Carolina,SC,5,6,8,9,9,9,7,6,4,5,7,7,7,7,6,6,6,6,6,6,6,6,7
South Dakota,SD,,,,,,,,,,,,2,2,3,2,2,2,2,2,1,1,1,1
Tennessee,TN,,,3,6,9,13,11,10,8,10,10,10,10,10,9,10,9,9,8,9,9,9,9
Texas,TX,,,,,,,,2,4,6,11,13,16,18,21,21,22,23,24,27,30,32,36
Utah,UT,,,,,,,,,,,,,1,2,2,2,2,2,2,3,3,3,4
Vermont,VT,,2,4,6,5,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
Virginia,VA,10,19,22,23,22,21,15,13,11,9,10,10,10,10,9,9,10,10,10,10,11,11,11
Washington,WA,,,,,,,,,,,,2,3,5,6,6,7,7,7,8,9,9,10
West Virginia,WV,,,,,,,,,,3,4,4,5,6,6,6,6,5,4,4,3,3,3
Wisconsin,WI,,,,,,,,3,6,8,9,10,11,11,10,10,10,10,9,9,9,8,8
Wyoming,WY,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
